url,brand,text,asin,ranking
https://www.amazon.co.uk//Accentra-Beauty-Advent-Calendar-Flamingo/dp/B07HMZ3491/ref=sr_1_47?dchild=1&keywords=soap&qid=1605209574&refinements=p_n_availability%3A181475031%2Cp_72%3A184329031&rnid=184311031&s=beauty&sr=1-47,https://www.amazon.co.uk/accentra/b/ref=bl_dp_s_web_15600995031?ie=UTF8&node=15600995031&field-lbr_brands_browse-bin=accentra,Bath Sets,B07HMZ3491,,
https://www.amazon.co.uk//LOL-Surprise-Rainbow-changing-bubbles/dp/B081K6SHFV/ref=sr_1_46?dchild=1&keywords=soap&qid=1605209574&refinements=p_n_availability%3A181475031%2Cp_72%3A184329031&rnid=184311031&s=beauty&sr=1-46,https://www.amazon.co.uk/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=beauty&field-keywords=LOL+Surprise%21,Bath Sets,B081K6SHFV,,
https://www.amazon.co.uk//Christmas-Mothers-Valentines-Birthday-Honey-Almond/dp/B07Z2LJBHZ/ref=sr_1_45?dchild=1&keywords=soap&qid=1605209574&refinements=p_n_availability%3A181475031%2Cp_72%3A184329031&rnid=184311031&s=beauty&sr=1-45,https://www.amazon.co.uk/Lovestee/b/ref=bl_dp_s_web_18855117031?ie=UTF8&node=18855117031&field-lbr_brands_browse-bin=Lovestee,Bath Sets,B07Z2LJBHZ,,
https://www.amazon.co.uk//Combined-Scrub-Super-Smile-Bundle/dp/B07KMGFDSL/ref=sr_1_43?dchild=1&keywords=soap&qid=1605209574&refinements=p_n_availability%3A181475031%2Cp_72%3A184329031&rnid=184311031&s=beauty&sr=1-43,https://www.amazon.co.uk/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-uk&field-keywords=Combined,Bath Sets,B07KMGFDSL,,
https://www.amazon.co.uk//Valentines-Holy-City-Skin-Products/dp/B0793FQW74/ref=sr_1_42?dchild=1&keywords=soap&qid=1605209574&refinements=p_n_availability%3A181475031%2Cp_72%3A184329031&rnid=184311031&s=beauty&sr=1-42,https://www.amazon.co.uk/HOLY-CITY-SKIN-PRODUCTS/b/ref=bl_dp_s_web_16749128031?ie=UTF8&node=16749128031&field-lbr_brands_browse-bin=HOLY+CITY+SKIN+PRODUCTS,Bath Sets,B0793FQW74,,
https://www.amazon.co.uk//Clinique-Clarifying-Moisture-Turnaround-Concentrate/dp/B00H4JPPYQ/ref=sr_1_48?dchild=1&keywords=soap&qid=1605209574&refinements=p_n_availability%3A181475031%2Cp_72%3A184329031&rnid=184311031&s=beauty&sr=1-48,https://www.amazon.co.uk/Clinique/b/ref=bl_dp_s_web_18975731031?ie=UTF8&node=18975731031&field-lbr_brands_browse-bin=Clinique,Bath Sets,B00H4JPPYQ,,
https://www.amazon.co.uk//Bulk-Homeless-Care-Package-Supplies/dp/B084GFHMD6/ref=sr_1_79?dchild=1&keywords=soap&qid=1605209596&refinements=p_n_availability%3A181475031%2Cp_72%3A184329031&rnid=184311031&s=beauty&sr=1-79,https://www.amazon.co.uk/Moda-West/b/ref=bl_dp_s_web_17601265031?ie=UTF8&node=17601265031&field-lbr_brands_browse-bin=Moda+West,Bath Sets,B084GFHMD6,,
https://www.amazon.co.uk//Shopkins-Bath-and-Body-Set/dp/B019BU10E4/ref=sr_1_82?dchild=1&keywords=soap&qid=1605209596&refinements=p_n_availability%3A181475031%2Cp_72%3A184329031&rnid=184311031&s=beauty&sr=1-82,https://www.amazon.co.uk/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=beauty&field-keywords=Shopkins,Bath Sets,B019BU10E4,,
https://www.amazon.co.uk//Collection-Moisturizing-Aromatherapy-Antioxidant-Ingredients/dp/B0842V312R/ref=sr_1_44?dchild=1&keywords=soap&qid=1605209574&refinements=p_n_availability%3A181475031%2Cp_72%3A184329031&rnid=184311031&s=beauty&sr=1-44,https://www.amazon.co.uk/stores/O+NATURALS/page/CDD8FD30-EBDD-434A-B73E-A307160024F8?ref_=ast_bln,Bath Sets,B0842V312R,,
https://www.amazon.co.uk//Unicorn-Fingerlings-Holiday-Christmas-Banana/dp/B07K2C98BC/ref=sr_1_81?dchild=1&keywords=soap&qid=1605209596&refinements=p_n_availability%3A181475031%2Cp_72%3A184329031&rnid=184311031&s=beauty&sr=1-81,https://www.amazon.co.uk/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=baby&field-keywords=GBG,Bath Sets,B07K2C98BC,,
https://www.amazon.co.uk//courtesy-Flower-prestige-100pcs-AMENITIES/dp/B07P6RJSXS/ref=sr_1_78?dchild=1&keywords=soap&qid=1605209596&refinements=p_n_availability%3A181475031%2Cp_72%3A184329031&rnid=184311031&s=beauty&sr=1-78,https://www.amazon.co.uk/PRESENT-MORE/b/ref=bl_dp_s_web_19803087031?ie=UTF8&node=19803087031&field-lbr_brands_browse-bin=PRESENT-MORE,Bath Sets,B07P6RJSXS,,
https://www.amazon.co.uk//12-Kits-Toiletries-Complete-Essentials/dp/B08KBDXKBC/ref=sr_1_77?dchild=1&keywords=soap&qid=1605209596&refinements=p_n_availability%3A181475031%2Cp_72%3A184329031&rnid=184311031&s=beauty&sr=1-77,https://www.amazon.co.uk/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=beauty&field-keywords=elecc,Bath Sets,B08KBDXKBC,,
https://www.amazon.co.uk//Minute-Shower-Timer-Thames-Water/dp/B00DT6DZQ8/ref=sr_1_212?dchild=1&keywords=soap&qid=1605209628&refinements=p_n_availability%3A181475031%2Cp_72%3A184329031&rnid=184311031&s=beauty&sr=1-212,https://www.amazon.co.uk/Dove/b/ref=bl_dp_s_web_16180065031?ie=UTF8&node=16180065031&field-lbr_brands_browse-bin=Dove,Bathing Cleansers,B00DT6DZQ8,"1,046,390 ", Beauty 
https://www.amazon.co.uk//Basket-Lavender-Essential-Beauty-Pampering/dp/B0754QQMJ5/ref=sr_1_76?dchild=1&keywords=soap&qid=1605209596&refinements=p_n_availability%3A181475031%2Cp_72%3A184329031&rnid=184311031&s=beauty&sr=1-76,https://www.amazon.co.uk/stores/Pure+UK/page/82852A09-A2C3-429D-A1E4-25D388D74BBA?ref_=ast_bln,Bath Sets,B0754QQMJ5,,
https://www.amazon.co.uk//Hygiene-Toiletry-Children-Homeless-NonProfit/dp/B0853ZYQ81/ref=sr_1_75?dchild=1&keywords=soap&qid=1605209596&refinements=p_n_availability%3A181475031%2Cp_72%3A184329031&rnid=184311031&s=beauty&sr=1-75,https://www.amazon.co.uk/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=beauty&field-keywords=Instock+Supplies,Bath Sets,B0853ZYQ81,,
https://www.amazon.co.uk//Molton-Brown-Templetree-Mini-Gift/dp/B01MD1T1K2/ref=sr_1_74?dchild=1&keywords=soap&qid=1605209596&refinements=p_n_availability%3A181475031%2Cp_72%3A184329031&rnid=184311031&s=beauty&sr=1-74,https://www.amazon.co.uk/Molton-Brown/b/ref=bl_dp_s_web_1733429031?ie=UTF8&node=1733429031&field-lbr_brands_browse-bin=Molton+Brown,Bath Sets,B01MD1T1K2,"380,305 ", Beauty 
https://www.amazon.co.uk//Molton-Brown-Honeysuckle-White-Mini/dp/B01N8VAHCW/ref=sr_1_73?dchild=1&keywords=soap&qid=1605209596&refinements=p_n_availability%3A181475031%2Cp_72%3A184329031&rnid=184311031&s=beauty&sr=1-73,https://www.amazon.co.uk/Molton-Brown/b/ref=bl_dp_s_web_1733429031?ie=UTF8&node=1733429031&field-lbr_brands_browse-bin=Molton+Brown,Bath Sets,B01N8VAHCW,"320,072 ", Beauty 
